id,number,direction,direction_desc,id_installation,id_section
"1","1","1",,"1","00056130"
"2","2","2",,"1","00056130"
"3","1","1",,"2","00056135"
"4","2","2",,"2","00056135"
"5","1","1",,"3","00056140"
"6","2","2",,"3","00056140"
"7","1","1",,"4","00056145"
"8","2","2",,"4","00056145"
"9","1","1",,"5","00056150"
"10","2","2",,"5","00056150"
"11","1","1",,"6","00056155"
"12","2","2",,"6","00056155"
"13","1","1",,"7","00056160"
"14","2","2",,"7","00056160"
"15","1","1",,"8","00056165"
"16","2","2",,"8","00056165"
"17","1","1",,"9","00056170"
"18","2","2",,"9","00056170"
"19","1","1",,"10","00056175"
"20","2","2",,"10","00056175"
"21","1","1",,"11","00056180"
"22","2","2",,"11","00056180"
"23","1","1",,"12","00056185"
"24","2","2",,"12","00056185"
"25","1","1",,"13","00056190"
"26","2","2",,"13","00056190"
"27","1","1",,"14","00056195"
"28","2","2",,"14","00056195"
"29","1","1",,"15","00056203"
"30","2","2",,"15","00056203"
"31","1","1",,"16","00056204"
"32","2","2",,"16","00056204"
"33","1","1",,"17","00056205"
"34","2","2",,"17","00056205"
"35","1","1",,"18","00056206"
"36","2","2",,"18","00056206"
"37","1","1",,"19","00056207"
"38","2","2",,"19","00056207"
"39","1","1",,"20","00056208"
"40","2","2",,"20","00056208"
"41","1","1",,"21","00056209"
"42","2","2",,"21","00056209"
"43","1","1",,"22","00056210"
"44","2","2",,"22","00056210"
"45","1","1",,"23","00056211"
"46","2","2",,"23","00056211"
"47","1","1",,"24","00056212"
"48","2","2",,"24","00056212"
"49","1","1",,"25","00056213"
"50","2","2",,"25","00056213"
"51","1","1",,"26","00056214"
"52","2","2",,"26","00056214"
"53","1","1",,"27","00056215"
"54","2","2",,"27","00056215"
"55","1","1",,"28","00056216"
"56","2","2",,"28","00056216"
"57","1","1",,"29","00056220"
"58","2","2",,"29","00056220"
"59","1","1",,"30","00056225"
"60","2","2",,"30","00056225"
"61","1","1",,"31","00056245"
"62","2","2",,"31","00056245"
"63","1","1",,"32","00056250"
"64","2","2",,"32","00056250"
"65","1","1",,"33","00056255"
"66","2","2",,"33","00056255"
"67","1","1",,"34","00056265"
"68","2","2",,"34","00056265"
"69","1","1",,"35","00056270"
"70","2","2",,"35","00056270"
"71","1","1",,"36","00056280"
"72","2","2",,"36","00056280"
"73","1","1",,"37","00056285"
"74","2","2",,"37","00056285"
"75","1","1",,"38","00056290"
"76","2","2",,"38","00056290"
"77","1","1",,"39","00056295"
"78","2","2",,"39","00056295"
"79","1","1",,"40","00056300"
"80","2","2",,"40","00056300"
"81","1","1",,"41","00056305"
"82","2","2",,"41","00056305"
"83","1","1",,"42","00056310"
"84","2","2",,"42","00056310"
"85","1","1",,"43","00056315"
"86","2","2",,"43","00056315"
"87","1","1",,"44","00056320"
"88","2","2",,"44","00056320"
"89","1","1",,"45","00056325"
"90","2","2",,"45","00056325"
"91","1","1",,"46","00056330"
"92","2","2",,"46","00056330"
"93","1","1",,"47","00056335"
"94","2","2",,"47","00056335"
"95","1","1",,"48","00056340"
"96","2","2",,"48","00056340"
"97","1","1",,"49","00056345"
"98","2","2",,"49","00056345"
"99","1","1",,"50","00056350"
"100","2","2",,"50","00056350"
"101","1","1",,"51","00056362"
"102","2","2",,"51","00056362"
"103","1","1",,"52","00056365"
"104","2","2",,"52","00056365"
"105","1","1",,"53","00056370"
"106","2","2",,"53","00056370"
"107","1","1",,"54","00056395"
"108","2","2",,"54","00056395"
"109","1","1",,"55","00056400"
"110","2","2",,"55","00056400"
"111","1","1",,"56","00056405"
"112","2","2",,"56","00056405"
"113","1","1",,"57","00056410"
"114","2","2",,"57","00056410"
"115","1","1",,"58","00056415"
"116","2","2",,"58","00056415"
"117","1","1",,"59","00056420"
"118","2","2",,"59","00056420"
"119","1","1",,"60","00056425"
"120","2","2",,"60","00056425"
"121","1","1",,"61","00056430"
"122","2","2",,"61","00056430"
"123","1","1",,"62","00056435"
"124","2","2",,"62","00056435"
"125","1","1",,"63","00056440"
"126","2","2",,"63","00056440"
"127","1","1",,"64","00056445"
"128","2","2",,"64","00056445"
"129","1","1",,"65","00056450"
"130","2","2",,"65","00056450"
"131","1","1",,"66","00056455"
"132","2","2",,"66","00056455"
"133","1","1",,"67","00056460"
"134","2","2",,"67","00056460"
"135","1","1",,"68","00056465"
"136","2","2",,"68","00056465"
"137","1","1",,"69","00056467"
"138","2","2",,"69","00056467"
"139","1","1",,"70","00056470"
"140","2","2",,"70","00056470"
"141","1","1",,"71","00056475"
"142","2","2",,"71","00056475"
"143","1","1",,"72","00056480"
"144","2","2",,"72","00056480"
"145","1","1",,"73","00056485"
"146","2","2",,"73","00056485"
"147","1","1",,"74","00056490"
"148","2","2",,"74","00056490"
"149","1","1",,"75","00056495"
"150","2","2",,"75","00056495"
