id,name,owner,road,way,start_pr,end_pr,start_dist,end_dist,place_name,start_validity,end_validity
"00056130",,NE,"5",=,"0","0",0,112.301,Frontière Vaudoise RC 5,,
"00056135",,NE,"5",=,"0","0",112.301,1021.1,Av. du Lac RC 5,,
"00056140",,NE,"5",=,"0","2",1021.1,138.075,Avenue du Lac,,
"00056145",,NE,"5",=,"2","2",138.075,181.651,,,
"00056150",,NE,"5",=,"2","2",181.651,982.255,Av. du Lac,,
"00056155",,NE,"5",=,"2","3",982.255,300.587,Avenue de Neuchâtel,,
"00056160",,NE,"5",=,"3","3",300.587,553.42,Av. de Neuchâtel,,
"00056165",,NE,"5",=,"3","3",553.42,724.511,,,
"00056170",,NE,"5",=,"3","3",724.511,973.837,,,
"00056175",,NE,"5",=,"3","4",973.837,64.447,,,
"00056180",,NE,"5",=,"4","4",64.447,330.217,Av. du Littoral,,
"00056185",,NE,"5",=,"4","5",330.217,840.077,Avant Gir. de La Damettaz,,
"00056190",,NE,"5",=,"5","5",840.077,939.014,,,
"00056195",,NE,"5",=,"5","6",939.014,51.168,,,
"00056200",Chemin des Maladières,NE,"5",=,"6","7",51.168,424.247,RC5-EGA-vers chez Gegène / Av. du Littoral,,
"00056202",,NE,"5",=,"7","7",424.247,525.901,RC5-EGA-après le Gir. Garage Alfio,,
"00056203",Rue Eugène-de-Coulon,NE,"5",=,"7","7",525.901,770.297,Rue Eugène de Coulon,,
"00056204",Rue du Château,NE,"5",=,"7","8",770.297,129.065,Rue du Château,,
"00056205",,NE,"5",=,"8","8",129.065,189.497,Rue du Château,,
"00056206",,NE,"5",=,"8","8",189.497,281.99,Rue du Château,,
"00056207",Rue du Temple,NE,"5",=,"8","8",281.99,331.71,Rue du Temple,,
"00056208",,NE,"5",=,"8","8",331.71,356.083,Rue du Temple,,
"00056209",,NE,"5",=,"8","8",356.083,410.277,Rue du Temple,,
"00056210",,NE,"5",=,"8","8",410.277,583.761,Rue du Temple,,
"00056211",,NE,"5",=,"8","8",583.761,712.331,Rue de Neuchâtel,,
"00056212",,NE,"5",=,"8","8",712.331,741.641,Rue de Neuchâtel,,
"00056213",,NE,"5",=,"8","8",741.641,845.76,Rue de Neuchâtel,,
"00056214",,NE,"5",=,"8","8",845.76,902.329,Rue de Neuchâtel,,
"00056215",,NE,"5",=,"8","9",902.329,89.604,Rue de Neuchâtel,,
"00056216",Rue de Neuchâtel,NE,"5",=,"9","9",89.604,681.117,RC5-Rue de Neuchâtel (à côté du garage Apollo,,
"00056220",,NE,"5",=,"9","9",681.117,747.517,,,
"00056290",Avenue de Longueville,NE,"5",=,"14","14",271.806,386.187,,,
"00056415",,NE,"5",=,"20","20",0,36.1,,,
"00056225",,NE,"5",=,"9","10",747.517,164.956,,,
"00056230",,NE,"5",=,"10","10",164.956,572.456,RC5-Les Tilles vers CEB,,
"00056245",,NE,"5",=,"10","11",572.456,603.842,A côté de la cave Mauler,,
